database,nodes_loaded,relationships_loaded,node_load_seconds,relationship_load_seconds,nodes_per_second,relationships_per_second,total_load_seconds,batch_size,load_method,success,errors,campaign_id,configuration_fingerprint,schema_setup_seconds,schema_setup_excluded,node_batch_size,relationship_batch_size
cognodb,7115,103689,3.8891981999999996,68.2758073,1829.425921260583,1518.6784909682058,72.16500549999999,1000,parameterized UNWIND transactional driver batches; schema time excluded,True,(),final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,,True,1000,1000
memgraph,7115,103689,0.1220512,1.5363726999999998,58295.20725728219,67489.48350878665,1.6584238999999998,1000,parameterized UNWIND transactional driver batches; schema time excluded,True,(),final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,,True,1000,1000
falkordb,7115,103689,0.06965900000000001,5.8329968,102140.42693693562,17776.282681999757,5.9026558,1000,parameterized FalkorDB Cypher transactional batches; schema time excluded,True,(),final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,,True,1000,1000
