campaign_id,configuration_fingerprint,database,workload,round,attempt_count,successful_count,failure_count,error_rate,minimum_ms,maximum_ms,mean_ms,p50_ms,p95_ms,p99_ms
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,one_hop,1,200,200,0,0.0,0.5953,42.0777,1.8326034999999998,0.79745,1.476110000000001,39.28860899999999
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,one_hop,2,200,200,0,0.0,0.5989,48.9164,1.633637,0.88795,1.7635600000000005,21.991428999999783
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,one_hop,3,200,200,0,0.0,0.5916,47.117,1.9188415,0.7988,1.32354,44.540447999999984
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,two_hop,1,200,200,0,0.0,0.6134,46.3654,1.9886605,0.86795,1.5436000000000014,44.522812999999985
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,two_hop,2,200,200,0,0.0,0.6102,46.3676,1.841046,0.9625,1.8767450000000008,42.311542999999965
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,two_hop,3,200,200,0,0.0,0.5939,46.2801,1.763547,1.0319,2.9120800000000004,17.46030399999986
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,three_hop,1,200,200,0,0.0,0.695,188.2396,5.4226775,1.50535,14.27684,68.01229999999897
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,three_hop,2,200,200,0,0.0,0.7142,158.3992,4.76846,1.62215,13.981620000000012,60.00815699999911
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,three_hop,3,200,200,0,0.0,0.6909,177.403,5.448624,1.4969999999999999,23.01026500000003,41.56876099999881
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,aggregation,1,200,200,0,0.0,2.4123,35.675,3.9805444999999997,2.7764499999999996,4.618585000000003,32.925675999999996
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,aggregation,2,200,200,0,0.0,2.3956,35.0008,3.9696485,2.721,5.5697,31.916341999999993
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,aggregation,3,200,200,0,0.0,2.3072,35.4173,4.031872,2.59825,5.477170000000005,34.542539999999995
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,point_lookup,1,200,200,0,0.0,0.5935,1.2307,0.770316,0.73695,0.974655,1.1966409999999996
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,point_lookup,2,200,200,0,0.0,0.5513,1.1892,0.7645795,0.752,0.9400950000000001,1.0673009999999996
final-20260820T015735Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,point_lookup,3,200,200,0,0.0,0.5791,1.1162,0.7541525,0.7416499999999999,0.87892,1.050126
