batch_size,campaign_id,configuration_fingerprint,database,errors,load_method,node_batch_size,node_load_seconds,nodes_loaded,nodes_per_second,relationship_batch_size,relationship_load_seconds,relationships_loaded,relationships_per_second,schema_setup_excluded,schema_setup_seconds,success,total_load_seconds
1000,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,cognodb,[],parameterized UNWIND transactional driver batches; schema time excluded,1000,2.8536908,7115,2493.2624095084166,1000,71.1998661,103689,1456.308918536014,True,,True,74.05355689999999
1000,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,[],parameterized UNWIND transactional driver batches; schema time excluded,1000,0.117023,7115,60800.013672525914,1000,1.8908353999999998,103689,54837.6659332695,True,,True,2.0078584
1000,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,[],parameterized FalkorDB Cypher transactional batches; schema time excluded,1000,0.0460428,7115,154530.13283292935,1000,5.7564227,103689,18012.749480680075,True,,True,5.8024655
1000,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,[],parameterized UNWIND transactional driver batches; schema time excluded,1000,25.383915400000003,7115,280.2956079817379,1000,40.697006,103689,2547.82870268147,True,,True,66.08092140000001
1000,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,(),parameterized python-arango insert_many batches; schema time excluded,1000,0.1250387,7115,56902.38302221632,1000,2.0299714,103689,51079.044758955715,True,,True,2.1550101
