attempt_count,campaign_id,configuration_fingerprint,database,error_rate,failure_count,maximum_ms,mean_ms,minimum_ms,p50_ms,p95_ms,p99_ms,round_median_cv,round_median_stddev_ms,successful_count,workload
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,610.4017,4.166321833333333,1.0909,1.74055,3.4473949999999993,61.49879699999996,0.19906997920924027,0.3705919911289085,600,one_hop
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,200.0494,5.434904833333333,1.0866,1.7934999999999999,13.534154999999952,87.40736,0.08780275707281886,0.15737473501875143,600,two_hop
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,2085.2776,54.386587999999996,1.0889,2.7759,274.629295,788.3225829999972,0.07915512620012367,0.21772540937816356,600,three_hop
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,166.1583,7.175000666666667,2.3975,2.9115,38.691149999999936,90.97189399999999,0.04254927394563895,0.12383824350965064,600,aggregation
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,2.6102,1.4008586666666667,1.2028,1.377,1.5919849999999995,1.7983379999999995,0.0020789935850650605,0.0028624969674899132,600,point_lookup
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,1.8134,1.4312315,1.2611,1.41625,1.60171,1.745631,0.004858804077998344,0.006868810344998292,600,filtered_lookup
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,3.5221,1.6176188333333332,1.415,1.58765,1.8571949999999997,2.0132119999999993,0.006968579383957057,0.01104810189831525,600,one_hop
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,8.2702,1.8532616666666668,1.431,1.6882,2.593295,6.564481999999995,0.01305334480563522,0.022010767567008867,600,two_hop
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,589.8654,15.201221166666668,1.5209,2.7423,53.22260499999996,203.7494499999972,0.02028429618836118,0.05537173366338522,600,three_hop
600,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,21.4067,3.0802206666666665,2.3292,2.6376,3.181745,16.319385999999998,0.0015766007105739908,0.00415591947307304,600,aggregation
