attempt_count,campaign_id,configuration_fingerprint,database,error_rate,failure_count,maximum_ms,mean_ms,minimum_ms,p50_ms,p95_ms,p99_ms,round,successful_count,workload
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,20.8515,1.508759,0.6652,1.16965,2.227230000000002,8.244740999999975,1,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,43.6287,1.6234540000000002,0.7152,1.1012,1.8553300000000004,15.859419999999963,2,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,45.2905,1.5978640000000002,0.6965,1.0615,1.7707300000000001,17.78100799999998,3,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,29.8163,1.738102,0.6563,1.141,1.9505450000000004,23.40712899999995,1,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,34.8202,1.6387045,0.6151,1.0758,1.94144,18.20330099999992,2,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,14.0627,1.5746825000000002,0.6914,1.36075,2.32523,6.004590999999977,3,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,133.5493,4.996757,0.9735,1.81935,14.681930000000015,49.41620699999933,1,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,160.0062,4.6777675,0.957,1.861,11.917240000000032,33.47877599999903,2,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,179.3757,4.8779065,0.8149,1.69865,13.747900000000012,40.37959799999886,3,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,28.4076,4.041144,2.599,3.6763000000000003,5.636540000000002,6.1486469999999995,1,200,aggregation
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,10.5505,3.7714145,2.4785,3.58665,4.9816350000000025,6.039442999999996,2,200,aggregation
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,memgraph,0.0,0,19.9294,3.9433629999999997,2.5806,3.6341,5.2448950000000005,5.998203999999971,3,200,aggregation
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,2.5831,0.7744074999999999,0.5783,0.72865,0.9881099999999999,1.8382509999999985,1,200,point_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,2.3356,0.842125,0.6406,0.7957000000000001,1.10832,1.3465789999999997,2,200,point_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,1.261,0.7666974999999999,0.5716,0.74455,0.9552650000000003,1.2136149999999999,3,200,point_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,1.976,0.8687275,0.6226,0.8212999999999999,1.19544,1.5265659999999994,1,200,filtered_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,1.5348,0.8965425,0.6619,0.864,1.16354,1.330236,2,200,filtered_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,1.8774,0.8388255,0.6533,0.81745,1.0540000000000003,1.4463109999999997,3,200,filtered_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,1.8255,0.8513339999999999,0.6675,0.8284,1.047005,1.1410649999999998,1,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,1.5436,0.865548,0.6426,0.82575,1.1531400000000003,1.2690619999999997,2,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,1.9895,0.8254195,0.5708,0.7967,1.0358150000000002,1.224724,3,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,7.7935,1.090113,0.6016,0.93025,1.7566400000000022,3.8064019999999643,1,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,7.8593,1.124009,0.6314,0.94715,2.009860000000001,3.697414999999964,2,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,7.9879,1.1069275,0.6363,0.9188000000000001,2.007850000000001,3.6668839999999627,3,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,701.1519,17.945462,0.7781,2.1075,59.800705,268.1463139999961,1,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,735.6621,18.15467,0.799,1.9971,72.45966500000013,228.43008199999565,2,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,753.5013,18.180105,0.7934,2.0613,67.66746500000013,217.9769299999951,3,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,2.4507,1.6143960000000002,1.2701,1.57065,1.947845,2.1333949999999993,1,200,aggregation
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,2.5017,1.6218025,1.2278,1.58075,2.001915,2.209854999999999,2,200,aggregation
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,2.538,1.62227,1.2625,1.56925,2.07728,2.3108359999999997,3,200,aggregation
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,66.5794,2.525008,1.2417,1.5975000000000001,2.564330000000001,27.709579999999765,1,200,point_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,67.757,2.7546769999999996,1.1929,1.5717500000000002,2.73055,42.72832099999998,2,200,point_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,95.9399,3.4695305000000003,1.1822,1.48335,3.2226800000000018,70.79259599999989,3,200,point_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,73.4224,3.176619,1.1388,1.5318999999999998,3.333575,58.954534999999986,1,200,filtered_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,3.3632,1.523868,1.1224,1.4222,2.157035,2.8248729999999984,2,200,filtered_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,48.8751,2.109224,1.1044,1.5568499999999998,2.4585600000000003,25.045170999999968,3,200,filtered_lookup
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,610.4017,5.9497255,1.1761,1.57975,2.56195,18.19133199999807,1,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,15.8597,1.822018,1.0909,1.6199,2.52975,5.382741999999927,2,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,75.1143,4.727222,1.3972,2.3852,4.648090000000017,66.67789899999998,3,200,one_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,200.0494,3.2840825000000002,1.0866,1.6012,2.996305,45.427073999999976,1,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,92.9632,8.9809745,1.3187,1.98665,81.69133000000001,90.28120199999998,2,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,100.7106,4.039657500000001,1.2077,1.78925,3.616190000000009,62.971539999999905,3,200,two_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,1694.0571,53.782429,1.2794,2.97705,241.73272000000046,696.5669419999925,1,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,2085.2776,60.810010000000005,1.203,2.8181000000000003,201.30345000000088,611.6932109999909,2,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,1495.7143,48.567325000000004,1.0889,2.4567,275.44378500000016,788.3225829999972,3,200,three_hop
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,166.1583,8.804814499999999,2.54,3.0852,56.558375000000034,91.00659199999996,1,200,aggregation
200,final-20260820T022802Z,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,93.1119,6.176785499999999,2.4281,2.81285,14.866050000000111,92.626147,2,200,aggregation
