attempted_operations,campaign_id,concurrency,configuration_fingerprint,database,error_rate,failed_operations,operation_category,p50_ms,p95_ms,p99_ms,specific_workload,successful_operations
9845,final-20260820T022802Z,20,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,write,13.7274,97.53291999999999,206.51744799999977,mixed_write,9845
24678,final-20260820T022802Z,40,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.0,0,read,64.34905,201.70079,306.82242399999996,mixed_read,24678
6169,final-20260820T022802Z,40,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,neo4j,0.00016210082671421625,1,write,86.51455,311.39852999999994,506.566981,mixed_write,6168
32066,final-20260820T022802Z,1,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,read,1.4107,1.60495,1.7814699999999999,mixed_read,32066
8016,final-20260820T022802Z,1,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,write,1.59565,1.8072,2.0013000000000014,mixed_write,8016
56079,final-20260820T022802Z,5,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,read,3.5145,5.587329999999998,21.520016000000005,mixed_read,56079
14019,final-20260820T022802Z,5,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,write,3.8754,5.99285,21.696192,mixed_write,14019
56104,final-20260820T022802Z,10,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,read,7.0629,23.605154999999996,29.683080000000004,mixed_read,56104
14026,final-20260820T022802Z,10,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,write,7.25005,23.626424999999998,29.6453,mixed_write,14026
57012,final-20260820T022802Z,20,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,read,14.76805,33.48127999999999,41.04669199999999,mixed_read,57012
14253,final-20260820T022802Z,20,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,write,14.9455,33.62618,41.702591999999996,mixed_write,14253
58596,final-20260820T022802Z,40,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,read,30.734,55.843424999999996,67.622185,mixed_read,58596
14648,final-20260820T022802Z,40,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,arangodb,0.0,0,write,30.86815,56.11306999999999,67.34400800000003,mixed_write,14648
76232,final-20260820T022802Z,1,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,read,0.5719,0.7183,0.8623760000000009,mixed_read,76232
19057,final-20260820T022802Z,1,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,write,0.6193,0.77292,0.9533039999999979,mixed_write,19057
143477,final-20260820T022802Z,5,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,read,0.848,1.5173400000000024,43.00129199999999,mixed_read,143477
35869,final-20260820T022802Z,5,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,write,0.898,1.62506,43.868939999999995,mixed_write,35869
130564,final-20260820T022802Z,10,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,read,1.5138,3.8847850000000004,57.935373999999996,mixed_read,130564
32640,final-20260820T022802Z,10,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,write,1.62615,4.6018849999999984,58.93177000000002,mixed_write,32640
123948,final-20260820T022802Z,20,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,read,3.0112,58.17338999999998,64.150714,mixed_read,123948
30986,final-20260820T022802Z,20,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,write,3.2051499999999997,59.411625,65.26934500000004,mixed_write,30986
117226,final-20260820T022802Z,40,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,read,6.4346,68.720825,78.21732499999999,mixed_read,117226
29306,final-20260820T022802Z,40,bf5c21d0bce4043d0c453d41497d7c375e685b28ee254714521e4a9c2879b162,falkordb,0.0,0,write,6.6349,70.278075,79.81421000000002,mixed_write,29306
